Plan Ref,Summary,Issue Type,Assignee (map on import),Story Points,Suggested Epic / Parent,Status as of 2026-09-05,Description
S3-1,Land the LJA Python package and test suite in main,Task,Allan Campton,5,E1 Engineering Foundations (no epic yet -- or IOLG-63),DONE -- close immediately,"DONE: commit eb93a01, 24 Aug. 22 modules and 9 test files in main; 69 tests pass from a clean clone; full-history secret scan clean; output/ and .env confirmed ignored. Rev 5: enter it and close it immediately -- work done inside the sprint window, points belong in the velocity record. The two criteria it did not meet (reviewed PRs, independent verification) are carried by S3-2 and S3-4."
S3-2,Retrospective peer review of the landed codebase,Task,"Ayesha x2, Istiaque, Anup, Sui Lung",5,E1 Engineering Foundations (no epic yet -- or IOLG-67),UNKNOWN -- no evidence in repo,"Reshaped: code landed as one commit so no PRs to review. Each member takes a module bundle, reads it, RUNS it, and raises findings as Jira issues linked here -- not Teams messages. Sub-tasks: config+llm (Ayesha), data (Anup), model (Ayesha), dashboard (Sui Lung), cli+tests (Istiaque)."
S3-3,CI pipeline and branch protection,Task,Ayesha Mosaddeque,5,E1 Engineering Foundations (no epic yet -- or IOLG-67),CODE READY (PR #4 green) -- branch protection NOT enabled,"GitHub Actions on every PR to main: ruff, pytest, coverage report, secret scanning + dependency scanning. main protected: no direct pushes, one approving review, CI must pass. Badge in root README. Verified by confirming a deliberately failing test blocks a merge. STATUS 5 Sep: workflow in PR #4, all jobs green; branch protection confirmed OFF (API 404)."
S3-4,Independent clean-machine rebuild verification,Task,Anup Tumbalam Gooty,2,"E7 Compliance, Security & Handover (IOLG-67)",NOT DONE -- and will fail as written once PR #8 merges,"Anup clones fresh on his own machine, creates the conda env from the README alone, runs python -m lja.cli against the dataset and pytest. Both pass unassisted. Every README gap raised as a bug, including the test count. WARNING: PR #8's gate blocks by default, so the README quick-start will exit 2 -- see action A-32 before running this."
S3-5,Staff confirmation gate for LLM SILO clustering,Story,Istiaque Bhuiyan,5,E3 Competency Model & Gap Engine (IOLG-63),EXISTS as IOLG-82 -- PR #8 ready pending A-32,"Three states per cluster: pending, confirmed, rejected. Persisted alongside output/silo_clustering.json. python -m lja.review lists clusters, sets state, attaches a note. lja.cli warns when driven by pending clustering; --allow-unconfirmed required in scripts. Rejected routes to a documented rework path. Unit test per transition."
S3-6,Relative gap detection -- replace absolute thresholds,Story,Allan Campton,5,E3 Competency Model & Gap Engine (IOLG-63),"MERGED -- PR #7, reviewed by Istiaque, 31 Aug","Closes the tender requirement 4 contradiction. Classification from variability within the student's own profile, not fixed 50/65. Absolute values only as configurable floor/ceiling from one source, never duplicated in SQL. Tests re-expressed. ADR recorded. STATUS: merged; docs/adr/0001-relative-gap-detection.md; thresholds await ratification (A-01)."
S3-7,Current understanding level dashboard view,Story,Sui Lung Tang (paired with Allan),3,E4 Mastery Dashboard (IOLG-64),AMBIGUOUS -- IOLG-64 marked Done 5 Sep; attach evidence,"Per-student mastery across ALL competencies, not only gaps. Rendered from existing pipeline output, no new stage. Reuses semantic palette in dashboard/static/style.css. Covered by existing in-memory fixtures. NOTE: the existing student page already renders every competency under a 'Competency gaps' heading -- if that is the Done basis, record it."
S3-8,Close the competency-mechanism architecture decision record,Task,Ayesha Mosaddeque,3,E2 Moodle Integration (IOLG-53),NOT DONE -- sql/README.md still future tense,"Time-boxed to one day. Load competency_framework_cse5idp.csv into devenv Moodle, run SQL queries 3 and 4, record which returns rows in sql/README.md with the output. If neither, record that too."
S3-9,Verify the Anthropic client against a live API key,Task,Istiaque Bhuiyan,2,E5 Grounded Generation (IOLG-65),"EXISTS as IOLG-88 -- PR #9 ready, 77 pass, clean",One live structured-output call succeeds end to end; result recorded in python/README.md. No key committed. STATUS: done in PR #9 -- also found and fixed a schema issue (additionalProperties: false via anthropic.transform_schema).
S3-10,Close out the last stale branch,Task,Anup Tumbalam Gooty,1,E1 Engineering Foundations (no epic yet -- or IOLG-67),HALF -- #3 merged; #2 (macos-setup-readme) still open since 16 Aug,"Rescoped: only docs/macos-setup-readme remains. Merge it or close it with a written reason. It is setup documentation, so it belongs in the handover."
S3-11,Draft the compliance checklist,Task,Anup Tumbalam Gooty,3,"E7 Compliance, Security & Handover (IOLG-67)",NOT DONE -- docs/compliance-checklist.md absent,"docs/compliance-checklist.md from the proposal's admin checklist: legal, security, financial, technical, HR, communication, QA, documentation. Draft acceptable this sprint; every row has an owner and a status. Completed in Sprint 5."
S3-12,Move the risk register into Jira,Task,Sui Lung Tang,2,"E7 Compliance, Security & Handover (IOLG-67)",UNKNOWN -- cannot see from repo,"The eight tender s3 risks as Jira issues or a linked page: likelihood, impact, control, owner, residual. Re-scored at each retro. Owners reassigned to match tender s10."
S3-13,Strengths dashboard view,Story,Sui Lung Tang,3,E4 Mastery Dashboard (IOLG-64),NOT STARTED,"Pulled forward from Sprint 4. High-attainment competencies as a first-class view, threshold-driven from S3-6's configuration rather than a second hardcoded number. Second of the four views tender requirement 5 promises."
